Attack,Unnamed: 0,agc,cn0,constellation,local_time,local_time full number seq,svid
TRUE,172183,16.13,28.4,Glonass,1.53872E+12,1538716776120,10
TRUE,78398,6.07,30.2,GPS,1.53873E+12,1538729185073,13
TRUE,165535,-7.43,18.9,GPS,1.53872E+12,1538715529061,3
TRUE,254016,3.66,24.1,Glonass,1.53872E+12,1538721796060,10
TRUE,28684,12.91,32.6,GPS,1.53845E+12,1538453371665,7
TRUE,52920,0.02,39.1,GPS,1.53846E+12,1538455102927,22
TRUE,3032,-0.48,11.2,GPS,1.53846E+12,1538456274346,22
TRUE,43999,-1.88,26.7,GPS,1.53864E+12,1538641599145,13
TRUE,52575,7.43,34,Glonass,1.53846E+12,1538457940122,24
TRUE,351544,-0.04,28.1,Glonass,1.53845E+12,1538446839052,14
TRUE,25194,0,28.5,GPS,1.53856E+12,1538559235111,17
TRUE,22814,1.94,31.5,GPS,1.53863E+12,1538631590945,7
TRUE,268911,2.38,22.4,Glonass,1.53872E+12,1538723376065,21
TRUE,49438,1.32,12.1,GPS,1.53871E+12,1538711654472,23
TRUE,124386,-0.88,29.5,Glonass,1.53871E+12,1538712988039,9
TRUE,445834,0.92,17.5,GPS,1.53874E+12,1538736097811,11
TRUE,274549,-1.42,20.6,GPS,1.53872E+12,1538723925067,5
TRUE,48769,0.27,33.4,GPS,1.53871E+12,1538708208091,26
TRUE,24444,0.43,23.2,GPS,1.53873E+12,1538725376051,13
TRUE,1614,-1.54,31.3,GPS,1.53862E+12,1538624311663,16
TRUE,62321,-1.22,36.1,GPS,1.53864E+12,1538641882699,18
TRUE,4963,-11.88,20.8,GPS,1.53864E+12,1538639725163,11
TRUE,2430,0.13,29.4,GPS,1.53871E+12,1538705516029,1
TRUE,32596,1.37,28,GPS,1.53842E+12,1538419946617,15
TRUE,92538,3.84,23.7,Glonass,1.53865E+12,1538645148977,12
TRUE,598732,-0.37,16.1,Glonass,1.53876E+12,1538755351028,1
TRUE,452335,-0.08,16.3,GPS,1.53874E+12,1538736287318,18
TRUE,18845,11.85,14.9,Glonass,1.53863E+12,1538634801931,21
TRUE,116388,-0.73,31.5,Glonass,1.53873E+12,1538730901110,12
TRUE,88231,7.2,21.1,Glonass,1.53865E+12,1538646010184,12
TRUE,279351,0.52,22,GPS,1.53844E+12,1538441809250,31
TRUE,64376,8.25,31.9,Glonass,1.53873E+12,1538728235078,4
TRUE,10203,1.17,27.1,Glonass,1.53872E+12,1538724197110,22
TRUE,167001,2.64,14.6,GPS,1.53872E+12,1538715611070,23
TRUE,287191,0.85,10.5,Glonass,1.53844E+12,1538442249604,2
TRUE,17192,3.82,22.1,GPS,1.53872E+12,1538717915902,16
TRUE,20591,0.43,34.5,GPS,1.53873E+12,1538725069066,18
TRUE,212663,3.48,14.3,Glonass,1.53872E+12,1538718238069,20
TRUE,6419,-36.17,31.3,GPS,1.53863E+12,1538630321208,24
TRUE,57245,1.05,22.5,GPS,1.53871E+12,1538712425109,3
TRUE,295545,-0.06,18,GPS,1.53844E+12,1538442769048,14
TRUE,40955,13.19,36.5,GPS,1.53872E+12,1538722619026,7
TRUE,1213,0.81,33.1,GPS,1.53846E+12,1538457143489,26
TRUE,17450,15.13,33.7,GPS,1.53863E+12,1538625491923,3
TRUE,43907,-0.46,36.4,Glonass,1.53864E+12,1538642293186,1
TRUE,464166,-1.84,34.4,GPS,1.53875E+12,1538745512752,17
TRUE,10855,0.32,22,GPS,1.53863E+12,1538633921923,8
TRUE,43496,-0.69,26.7,GPS,1.53871E+12,1538708121041,18
TRUE,381804,-1.62,16.2,GPS,1.53873E+12,1538731136072,8
TRUE,204078,1.45,20.4,Glonass,1.53844E+12,1538436996604,17
TRUE,210012,2.17,23.1,GPS,1.53872E+12,1538718062059,27
TRUE,26270,-0.09,34.8,Glonass,1.53845E+12,1538453191666,4
TRUE,11639,15,30.6,GPS,1.53845E+12,1538452205044,22
TRUE,6556,-1.6,23.5,GPS,1.53863E+12,1538633562942,23
TRUE,9831,13.68,23.7,Glonass,1.53846E+12,1538455358687,6
TRUE,15964,0.13,15.6,GPS,1.53871E+12,1538708245389,9
TRUE,139806,1.04,15.9,Glonass,1.53843E+12,1538430879591,12
TRUE,403558,-0.64,21.4,Glonass,1.53873E+12,1538733764121,14
TRUE,31779,0.27,37.2,GPS,1.53871E+12,1538707077142,16
TRUE,225989,2.02,32.3,Glonass,1.53872E+12,1538719357110,2
TRUE,257705,13.29,24.5,Glonass,1.53872E+12,1538723052104,1
TRUE,95151,-6.2,36,Glonass,1.53873E+12,1538730267052,13
TRUE,34051,-2.3,42.9,GPS,1.53864E+12,1538641723188,7
TRUE,15833,-2.07,35.6,Glonass,1.53872E+12,1538721191117,11
TRUE,2869,2.14,31.1,GPS,1.53846E+12,1538456264356,7
TRUE,379191,-0.94,12.1,Glonass,1.53873E+12,1538730921070,2
TRUE,19733,9.36,35.7,Glonass,1.53846E+12,1538455787153,5
TRUE,42131,-0.21,33.3,Glonass,1.53873E+12,1538726049099,3
TRUE,88546,0.75,25.6,GPS,1.53872E+12,1538715411113,26
TRUE,304747,0.4,24.8,GPS,1.53873E+12,1538725771064,18
TRUE,149773,1.26,19.7,Glonass,1.53843E+12,1538432368590,1
TRUE,43149,-0.03,15.7,GPS,1.53846E+12,1538457921446,26
TRUE,296091,12.98,20.1,GPS,1.53873E+12,1538725592160,30
TRUE,23375,-0.7,35.2,GPS,1.53845E+12,1538451372329,22
TRUE,384274,-2.18,15.7,Glonass,1.53874E+12,1538736128208,24
TRUE,24740,0.7,41.1,Glonass,1.53846E+12,1538456404615,5
TRUE,4165,-0.86,35.7,GPS,1.53845E+12,1538453019761,31
TRUE,38595,22.36,26.8,Glonass,1.53856E+12,1538560166116,20
TRUE,321519,14.13,26.4,Glonass,1.53873E+12,1538727456119,2
TRUE,352490,12.18,29.7,GPS,1.53873E+12,1538731361673,7
TRUE,10934,0,23.8,Glonass,1.53856E+12,1538558117972,22
TRUE,12334,0,26.5,Glonass,1.53856E+12,1538558217905,10
TRUE,20338,15.13,25.2,GPS,1.53863E+12,1538625737922,16
TRUE,104046,-4.98,40.6,GPS,1.53865E+12,1538646240075,10
TRUE,80350,-1.07,12,Glonass,1.53871E+12,1538714762102,12
TRUE,584950,-0.29,19.4,Glonass,1.53875E+12,1538753682102,15
TRUE,62827,-0.61,32.6,GPS,1.53846E+12,1538458588140,22
TRUE,25916,0.64,14.9,GPS,1.53863E+12,1538631940132,26
TRUE,194116,0.24,27.9,GPS,1.53844E+12,1538436158595,31
TRUE,812,-1.34,23.4,Glonass,1.53856E+12,1538557531075,2
TRUE,114359,0.99,31.5,Glonass,1.53871E+12,1538712369034,7
TRUE,25101,0.14,35.7,GPS,1.53845E+12,1538454734079,31
TRUE,403062,0,33.4,GPS,1.53874E+12,1538737594208,19
TRUE,96792,0.52,41.5,GPS,1.53871E+12,1538711617085,3
TRUE,529699,1.41,11.8,GPS,1.53875E+12,1538745149179,12
TRUE,3223,-1.76,17.7,GPS,1.53871E+12,1538707393350,11
TRUE,32579,0.27,30.8,GPS,1.53871E+12,1538707128102,18
TRUE,587904,1.3,22.3,GPS,1.53875E+12,1538754147192,17
TRUE,36137,0.14,29.2,GPS,1.53846E+12,1538455470427,8
TRUE,195239,1.38,13.1,Glonass,1.53844E+12,1538436259597,17
TRUE,138249,-1.08,28.1,Glonass,1.53871E+12,1538713879054,9
TRUE,557477,1.24,17.2,GPS,1.53875E+12,1538749534200,12
TRUE,76205,0.75,27.3,GPS,1.53871E+12,1538714477134,3
TRUE,13433,5.36,23.2,GPS,1.53845E+12,1538452292999,16
TRUE,75598,3.11,37.3,GPS,1.53864E+12,1538642713697,11
TRUE,63605,0,30.3,Glonass,1.53846E+12,1538455894397,14
TRUE,352451,13.57,16.8,GPS,1.53873E+12,1538731353714,8
TRUE,4365,0.6,31.2,GPS,1.53845E+12,1538454865401,3
TRUE,183386,0.52,18.1,Glonass,1.53872E+12,1538717484122,2
TRUE,10148,0.18,14.4,Glonass,1.53863E+12,1538631640642,19
TRUE,240830,13.72,23.7,Glonass,1.53872E+12,1538721835120,3
TRUE,69528,7.43,26.2,Glonass,1.53846E+12,1538459089136,18
TRUE,88678,6.07,29.5,GPS,1.53873E+12,1538729868037,9
TRUE,258942,-1.07,33,GPS,1.53844E+12,1538440608933,32
TRUE,172449,8.14,22.2,GPS,1.53872E+12,1538716790122,23
TRUE,31870,1.2,28.4,Glonass,1.53846E+12,1538455181066,16
TRUE,48958,1.12,26.3,GPS,1.53871E+12,1538711706222,31
TRUE,133058,1.02,43.5,GPS,1.53871E+12,1538714251108,7
TRUE,8733,0.6,37.7,GPS,1.53846E+12,1538455162391,9
TRUE,463957,-0.33,15.7,Glonass,1.53874E+12,1538737018123,15
TRUE,104298,-3.91,43.7,GPS,1.53865E+12,1538646250105,7
TRUE,74461,17.66,29.7,Glonass,1.53846E+12,1538459463152,24
TRUE,197778,7.74,30.2,GPS,1.53872E+12,1538718339117,3
TRUE,58277,0.88,26.1,GPS,1.53871E+12,1538712577133,1
TRUE,7469,1.7,38.2,GPS,1.53856E+12,1538559054160,30
TRUE,53315,0.27,32.2,GPS,1.53871E+12,1538708538103,26
TRUE,93359,4.91,25.5,Glonass,1.53865E+12,1538646218188,101
TRUE,112287,0.33,37.5,GPS,1.53871E+12,1538712247027,3
TRUE,6778,0.6,34.2,GPS,1.53846E+12,1538455031382,9
TRUE,101547,-0.73,32.4,Glonass,1.53873E+12,1538729906107,13
TRUE,80896,0.49,37.2,GPS,1.53871E+12,1538714798985,31
TRUE,59275,1.98,30.4,GPS,1.53873E+12,1538727887047,8
TRUE,184308,-0.36,20.4,Glonass,1.53872E+12,1538716600069,21
TRUE,6028,1.37,25.8,Glonass,1.53842E+12,1538417788811,7
TRUE,39066,-0.13,29,GPS,1.53873E+12,1538726336050,13
TRUE,70330,0.61,27.7,Glonass,1.53846E+12,1538457768629,18
TRUE,9803,1.4,36.5,Glonass,1.53864E+12,1538640277185,11
TRUE,48223,0.02,34.1,GPS,1.53845E+12,1538454770774,27
TRUE,101970,0.61,34.5,GPS,1.53871E+12,1538711618036,23
TRUE,121917,1.02,42.1,GPS,1.53871E+12,1538713446126,26
TRUE,19804,3.61,30,Glonass,1.53845E+12,1538451129338,14
TRUE,5001,0.81,20.7,GPS,1.53845E+12,1538453078761,6
TRUE,75189,1.37,22.8,GPS,1.53842E+12,1538423366619,13
TRUE,96915,-0.73,33.9,Glonass,1.53873E+12,1538729653110,22
TRUE,13416,3.26,30.9,GPS,1.53856E+12,1538559650067,28
TRUE,204027,12.62,21.2,Glonass,1.53872E+12,1538719036117,20
TRUE,26150,3.99,33.3,Glonass,1.53846E+12,1538455491500,5
TRUE,74363,0,30.7,GPS,1.53871E+12,1538709955007,7
TRUE,37894,0.2,37.2,GPS,1.53856E+12,1538559938939,18
TRUE,204752,3.14,24.8,Glonass,1.53872E+12,1538717774057,2
TRUE,315258,2.03,15.8,Glonass,1.53844E+12,1538444141027,2
TRUE,80224,1.01,19,GPS,1.53871E+12,1538714558164,26
TRUE,16528,-0.18,32.7,GPS,1.53871E+12,1538708402955,32
TRUE,60099,-0.44,22.2,Glonass,1.53846E+12,1538459224439,18
TRUE,2716,7.34,31.2,Glonass,1.53846E+12,1538462544433,19
TRUE,271027,13.05,29.7,Glonass,1.53872E+12,1538723912127,21
TRUE,1400,0.22,25.4,GPS,1.53863E+12,1538630763124,8
TRUE,523020,1.3,15.1,GPS,1.53874E+12,1538744090123,19
TRUE,408397,0.27,11.9,Glonass,1.53873E+12,1538734130636,23
TRUE,46436,13.93,34.9,GPS,1.53845E+12,1538452962606,26
TRUE,563598,0.73,15,GPS,1.53875E+12,1538750497124,12
TRUE,3451,1.85,38.9,GPS,1.53845E+12,1538454754120,22
TRUE,44506,-1.43,17.1,Glonass,1.53846E+12,1538457868525,4
TRUE,154704,0.94,24.1,Glonass,1.53843E+12,1538433089580,19
TRUE,104785,1.38,34.9,Glonass,1.53871E+12,1538711792061,8
TRUE,36212,-0.52,31.5,Glonass,1.53871E+12,1538707605042,9
TRUE,16065,6.07,34.7,Glonass,1.53845E+12,1538452503994,5
TRUE,27710,-0.37,36.4,GPS,1.53863E+12,1538625748140,3
TRUE,5476,0,24.9,GPS,1.53871E+12,1538705743014,31
TRUE,397319,-2.35,38.6,GPS,1.53874E+12,1538737170220,17
TRUE,392357,-1.82,15.5,GPS,1.53873E+12,1538732316136,18
TRUE,81619,0.84,21.2,Glonass,1.53864E+12,1538643737958,1
TRUE,20367,8.76,35.8,GPS,1.53845E+12,1538452787655,7
TRUE,75104,9.32,31.4,Glonass,1.53865E+12,1538645154178,23
TRUE,27520,-1.27,37.4,GPS,1.53864E+12,1538640649137,17
TRUE,77154,-1.37,34.5,GPS,1.53864E+12,1538643416964,13
TRUE,71355,3.11,27.7,GPS,1.53864E+12,1538642439690,28
TRUE,3302,-0.5,38.6,GPS,1.53872E+12,1538720189095,7
TRUE,134177,1.02,36.7,GPS,1.53871E+12,1538714331137,27
TRUE,26880,0.61,19,GPS,1.53872E+12,1538721494044,11
TRUE,64170,8.25,34.2,Glonass,1.53873E+12,1538728222063,13
TRUE,122549,-2.79,12.3,Glonass,1.53846E+12,1538462990293,9
TRUE,350981,-0.04,32.9,Glonass,1.53845E+12,1538446796051,4
TRUE,79266,-16.24,15.9,GPS,1.53864E+12,1538643873183,13
TRUE,167099,0.95,22,Glonass,1.53843E+12,1538434048614,18
TRUE,89879,-3.38,36,GPS,1.53846E+12,1538460598152,11
TRUE,13408,-0.5,23.5,GPS,1.53872E+12,1538721005076,27
TRUE,61165,-2.93,34.3,Glonass,1.53864E+12,1538643426183,2
TRUE,20382,-0.46,17.4,Glonass,1.53871E+12,1538708783978,6
TRUE,10294,-1.47,37.1,GPS,1.53871E+12,1538706038022,1
TRUE,28893,-0.19,40,Glonass,1.53864E+12,1538640727157,11
TRUE,376169,-1.18,24.5,Glonass,1.53873E+12,1538730701073,11
TRUE,128007,-5.81,25.6,GPS,1.53846E+12,1538460551215,28
TRUE,3752,-3.93,17.4,GPS,1.53843E+12,1538429800108,20
TRUE,286567,-1.83,23.1,Glonass,1.53872E+12,1538724922080,12
TRUE,52437,0.12,29.5,GPS,1.53871E+12,1538708736076,26
TRUE,501651,-0.5,15.2,GPS,1.53875E+12,1538751667188,25
